Type,Count,Allocated(MB),Resident(MB)
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTranslate,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Translate,UnityEngine.UIElements.StyleTranslate>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTranslate,UnityEngine.UIElements.Translate>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.WhiteSpace,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>,UnityEngine.UIElements.WhiteSpace>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Visibility,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>,UnityEngine.UIElements.Visibility>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.TextOverflowPosition,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>,UnityEngine.UIElements.TextOverflowPosition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.TextGeneratorType,UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>,UnityEngine.TextGeneratorType>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.TextAnchor,UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>,UnityEngine.TextAnchor>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.SliceType,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>,UnityEngine.UIElements.SliceType>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleInt>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleInt,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,UnityEngine.UIElements.StyleInt>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleInt,System.Int32>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>>",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.IsDiscoveryRunningDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.GetCurrentRoomDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.IsPositionInRoomDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.RaycastAnchorAllDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.RaycastAnchorDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.RaycastRoomAllDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.RaycastRoomDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.RegisterEventListenerDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.TickGlobalContextDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.OnOpenXrEventDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ClearRoomDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ClearRoomsDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.LoadSceneFromPrefabDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.FreeJsonDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SaveSceneToJsonDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.LoadSceneFromJsonDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.StartQueryByLocalGroupDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.StartDiscoveryDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SetBaseSpaceDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.InitUnityInterfacesDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ShutdownOpenXrDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.InitOpenXrDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.DestroyGlobalContextDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CreateGlobalContextDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SetLogPrinterDelegate",1,0.000,0.000
"System.Action<Unity.Profiling.Memory.MemorySnapshotMetadata>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>>",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ConvertToXrTimeInSecondsDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraStopDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraOnApplicationFocusedDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraReleaseLatestImageDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraAcquireLatestImageDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraPlayDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraFreeSupportedResolutionsDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CameraGetSupportedResolutionsDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SetTrackersUpdateIntervalDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ConfigureTrackersDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SetTrackingSpacePoseSetterDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.SetTrackingSpacePoseGetterDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.PerformEnvironmentRaycastDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.DestroyEnvironmentRaycasterDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.CreateEnvironmentRaycasterDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.StringToMrukLabelDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs._TestUuidMarshallingDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.FreeMeshSegmentationDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.ComputeMeshSegmentationDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.FreeMeshDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.TriangulatePolygonDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.AddVectorsDelegate",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKNativeFuncs.GetWorldLockOffsetDelegate",1,0.000,0.000
"System.Func<UnityEngine.InputSystem.InputDevice,System.String>",1,0.000,0.000
"UnityEngine.InputSystem.LowLevel.InputDeviceExecuteCommandDelegate",1,0.000,0.000
"System.Predicate<System.Object>",1,0.000,0.000
"System.Predicate<System.Threading.Tasks.Task>",1,0.000,0.000
"System.Func<System.Threading.Tasks.Task.ContingentProperties>",1,0.000,0.000
"System.Func<System.Single,System.String>",1,0.000,0.000
"System.Action<UnityEngineInternal.Input.NativeInputUpdateType>",1,0.000,0.000
"System.Action<UnityEngine.InputSystem.LowLevel.InputUpdateType>",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.InputSystem.Utilities.InternedString,System.Func<UnityEngine.InputSystem.Layouts.InputControlLayout>>[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<System.Guid,System.Action>[]",1,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<UnityEngine.InputSystem.Utilities.InternedString,System.String>[]",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.Object>",1,0.000,0.000
"UnityEngine.BeforeRenderHelper.OrderBlock[]",2,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.Object>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.DrawCommandOutputPerBatch>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.PrefixSumDrawsAndInstances>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.AllocateBinsPerBatch>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.CullingJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.GPUResidentDrawer.GetMaterialsWithChangedPackedMaterialJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.GPUResidentDrawer.FindRenderersFromMaterialJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.GPUResidentDrawer.FindUnsupportedRenderersJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.GPUResidentDrawer.ClassifyMaterialsJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeStream.ConstructJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeStream.ConstructJobList>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeStream.DisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeParallelHashMapDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeParallelHashMapDataDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.LowLevel.Unsafe.UnsafeDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.UnsafeQueueDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeTextDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeStreamDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeStream.ConstructJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeStream.ConstructJobList>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeRingQueueDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeReferenceDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeQueueDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeListDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeHashMapDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeBitArrayDisposeJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.CollectionHelper.DummyJob>",1,0.000,0.000
"System.Action<System.UInt64,System.Boolean,OVRSpace,System.Guid,OVRPlugin.SpaceComponentType,System.Boolean>",1,0.000,0.000
"System.Action<System.UInt64,System.Boolean>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.Object>",1,0.000,0.000
"TMPro.FastAction<System.Boolean,UnityEngine.Object>",4,0.000,0.000
"Unity.Properties.TypeConverter<System.Double,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Char,System.Object>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.Object>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.UpdateCompactedInstanceVisibilityJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.GetVisibleNonProcessedTreeInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.CollectInstancesLODGroupsAndMasksJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.UpdateRendererInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.FreeRendererGroupInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.FreeInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.ReallocateInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.MotionUpdateJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.ProbesUpdateJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.TransformUpdateJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.ScatterTetrahedronCacheIndicesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.CalculateInterpolatedLightAndOcclusionProbesBatchJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.QuerySortedMeshInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.QueryRendererGroupInstancesMultiJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.QueryRendererGroupInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.ComputeInstancesOffsetAndResizeInstancesArrayJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.InstanceDataSystem.QueryRendererGroupInstancesCountJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.GPUInstanceDataBufferUploader.WriteInstanceDataParameterJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.GPUInstanceDataBuffer.ConvertCPUInstancesToGPUInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.CreateDrawBatchesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.UpdatePackedMaterialDataCacheJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.RemoveDrawInstanceIndicesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.FindMaterialDrawInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.FindDrawInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobParallelForExtensions.ParallelForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.BuildDrawListsJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.PrefixSumDrawInstancesJob>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<UnityEngine.Rendering.InstanceCuller.SetupCullingJobInput>",1,0.000,0.000
"Unity.Jobs.IJobParallelForBatchExtensions.JobParallelForBatchProducer.ExecuteJobFunction<UnityEngine.Rendering.CompactVisibilityMasksJob>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.Int64>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.Int32>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.Int16>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.SByte>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.Boolean>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Object,System.Char>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt64,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt32,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.UInt16,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Byte,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int64,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int16,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.SByte,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Boolean,System.String>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundPosition,UnityEngine.UIElements.BackgroundPosition>",1,0.000,0.000
