NameOfObject,Type,Allocated(MB),Resident(MB)
"WatchManager","MonoScript",0.000,0.000
"NumberHelpers","MonoScript",0.000,0.000
"UnsafeParallelHashSetExtensions.gen","MonoScript",0.000,0.000
"NameAndParameters","MonoScript",0.000,0.000
"IDualShockHaptics","MonoScript",0.000,0.000
"NamedValue","MonoScript",0.000,0.000
"Tweak","MonoScript",0.000,0.000
"InputEventBuffer","MonoScript",0.000,0.000
"PointableCanvasUnityEventWrapper","MonoScript",0.000,0.000
"WarpMousePositionCommand","MonoScript",0.000,0.000
"InputStateBlock","MonoScript",0.000,0.000
"UnityOnMouseEnterMessageListener","MonoScript",0.000,0.000
"DualMotorRumbleCommand","MonoScript",0.000,0.000
"WitDictationRuntimeConfiguration","MonoScript",0.000,0.000
"OnScreenStick","MonoScript",0.000,0.000
"TransformFeatureStateProviderRef","MonoScript",0.000,0.000
"TouchPressControl","MonoScript",0.000,0.000
"InputUpdateType","MonoScript",0.000,0.000
"TextEvent","MonoScript",0.000,0.000
"StateEvent","MonoScript",0.000,0.000
"QueryDimensionsCommand","MonoScript",0.000,0.000
"JointRotationActiveState","MonoScript",0.000,0.000
"ButtonControl","MonoScript",0.000,0.000
"SequenceActiveState","MonoScript",0.000,0.000
"ActionEvent","MonoScript",0.000,0.000
"InputStateHistory","MonoScript",0.000,0.000
"InputEventPtr","MonoScript",0.000,0.000
"RayInteractorDebugPolylineGizmos","MonoScript",0.000,0.000
"TransformRecognizerActiveState","MonoScript",0.000,0.000
"DeltaStateEvent","MonoScript",0.000,0.000
"FingerFeatureStateThresholds","MonoScript",0.000,0.000
"IInputDeviceCommandInfo","MonoScript",0.000,0.000
"SerializedPropertyLinqExtensions","MonoScript",0.000,0.000
"TransformFeatureStateProvider","MonoScript",0.000,0.000
"IInputStateTypeInfo","MonoScript",0.000,0.000
"IInputUpdateCallbackReceiver","MonoScript",0.000,0.000
"IMECompositionEvent","MonoScript",0.000,0.000
"FingerFeatureStateProvider","MonoScript",0.000,0.000
"FingerShapes","MonoScript",0.000,0.000
"InputMetrics","MonoScript",0.000,0.000
"RequestSyncCommand","MonoScript",0.000,0.000
"DpadControl","MonoScript",0.000,0.000
"WitComposerRequestHandler","MonoScript",0.000,0.000
"ControllerButtonUsageActiveState","MonoScript",0.000,0.000
"TransformFeatureStateThresholds","MonoScript",0.000,0.000
"IInputStateChangeMonitor","MonoScript",0.000,0.000
"DisableDeviceCommand","MonoScript",0.000,0.000
"InputState","MonoScript",0.000,0.000
"IInputRuntime","MonoScript",0.000,0.000
"QueryCanRunInBackground","MonoScript",0.000,0.000
"EnableIMECompositionCommand","MonoScript",0.000,0.000
"DeviceRemoveEvent","MonoScript",0.000,0.000
"AnchoredWorldSpaceDistanceScaler","MonoScript",0.000,0.000
"OnScreenControl","MonoScript",0.000,0.000
"JointVelocityActiveState","MonoScript",0.000,0.000
"Vector3Control","MonoScript",0.000,0.000
"RequestResetCommand","MonoScript",0.000,0.000
"TransformFeatureProperties","MonoScript",0.000,0.000
"EnableDeviceCommand","MonoScript",0.000,0.000
"InputEventStream","MonoScript",0.000,0.000
"ITextInputReceiver","MonoScript",0.000,0.000
"ControllerVisual","MonoScript",0.000,0.000
"StickControl","MonoScript",0.000,0.000
"TransformFeatureValueProvider","MonoScript",0.000,0.000
"HmdOffset","MonoScript",0.000,0.000
"DictationListener","MonoScript",0.000,0.000
"Sequence","MonoScript",0.000,0.000
"KeyControl","MonoScript",0.000,0.000
"UnityOnJointBreakMessageListener","MonoScript",0.000,0.000
"WitComposerResponseExtensions","MonoScript",0.000,0.000
"TouchControl","MonoScript",0.000,0.000
"InputEvent","MonoScript",0.000,0.000
"MetaXRAcousticMaterialProperties","MonoScript",0.000,0.000
"IEventMerger","MonoScript",0.000,0.000
"OnScreenSupport","MonoScript",0.000,0.000
"DeviceResetEvent","MonoScript",0.000,0.000
"SpatialAnchorLoaderBuildingBlock","MonoScript",0.000,0.000
"DoubleControl","MonoScript",0.000,0.000
"IntegerControl","MonoScript",0.000,0.000
"FingerFeatureProperties","MonoScript",0.000,0.000
"OVRControllerVisual","MonoScript",0.000,0.000
"QueryEnabledStateCommand","MonoScript",0.000,0.000
"AnyKeyControl","MonoScript",0.000,0.000
"OnScreenButton","MonoScript",0.000,0.000
"QueryUserIdCommand","MonoScript",0.000,0.000
"SetIMECursorPositionCommand","MonoScript",0.000,0.000
"InputStateBuffers","MonoScript",0.000,0.000
"JointDeltaProvider","MonoScript",0.000,0.000
"QueryKeyboardLayoutCommand","MonoScript",0.000,0.000
"QueryPairedUserAccountCommand","MonoScript",0.000,0.000
"InputEventTrace","MonoScript",0.000,0.000
"LocomotionTurnerInteractorVisual","MonoScript",0.000,0.000
"NativeInputRuntime","MonoScript",0.000,0.000
"AxisControl","MonoScript",0.000,0.000
"FeatureDescription","MonoScript",0.000,0.000
"WitComposerConstants","MonoScript",0.000,0.000
"QueryKeyNameCommand","MonoScript",0.000,0.000
"ShapeRecognizer","MonoScript",0.000,0.000
"RectTransformBoundsClipperDriver","MonoScript",0.000,0.000
"UpdateRoundedBoxAnchorConstraint","MonoScript",0.000,0.000
"DeviceConfigurationEvent","MonoScript",0.000,0.000
"QuaternionControl","MonoScript",0.000,0.000
"SetSamplingFrequencyCommand","MonoScript",0.000,0.000
"OVRVirtualKeyboardSampleControls","MonoScript",0.000,0.000
"IInputStateCallbackReceiver","MonoScript",0.000,0.000
"LocomotionComfortVignetteSetting","MonoScript",0.000,0.000
"DeltaControl","MonoScript",0.000,0.000
"WitComposerService","MonoScript",0.000,0.000
"TouchPhaseControl","MonoScript",0.000,0.000
"InputDeviceCommand","MonoScript",0.000,0.000
"FeatureConfigBuilder","MonoScript",0.000,0.000
"DiscreteButtonControl","MonoScript",0.000,0.000
"PlayerInputManagerEditorAnalytic","MonoScript",0.000,0.000
"QuerySamplingFrequencyCommand","MonoScript",0.000,0.000
"IEventPreProcessor","MonoScript",0.000,0.000
"ShapeRecognizerActiveState","MonoScript",0.000,0.000
"ICustomDeviceReset","MonoScript",0.000,0.000
"InputEventListener","MonoScript",0.000,0.000
"JointDistanceActiveState","MonoScript",0.000,0.000
"Vector2Control","MonoScript",0.000,0.000
"IInputEventTypeInfo","MonoScript",0.000,0.000
"TrackingSpace","Transform",0.000,0.000
"IsVariableDefined","MonoScript",0.000,0.000
"Vector4Subtract","MonoScript",0.000,0.000
"VoiceServiceMockRequest","MonoScript",0.000,0.000
"math_unity_conversion","MonoScript",0.000,0.000
"StateEventHooks","MonoScript",0.000,0.000
"FixedStringMethods","MonoScript",0.000,0.000
"SerializeAsAttribute","MonoScript",0.000,0.000
"Equal","MonoScript",0.000,0.000
"SerializationData","MonoScript",0.000,0.000
"TMP_ShaderUtilities","MonoScript",0.000,0.000
"Image","MonoScript",0.000,0.000
"DebugInspector","MonoScript",0.000,0.000
"SecondaryInteractorFilter","MonoScript",0.000,0.000
"OnJointBreak2D","MonoScript",0.000,0.000
"ControllerDataAsset","MonoScript",0.000,0.000
"DebugGizmos","MonoScript",0.000,0.000
"BasicScriptPlayable","MonoScript",0.000,0.000
"TagSet","MonoScript",0.000,0.000
"ActivationPlayableAsset","MonoScript",0.000,0.000
"SampleFrequencyCalculator","MonoScript",0.000,0.000
"TextureUtils","MonoScript",0.000,0.000
"IXRLoaderPreInit","MonoScript",0.000,0.000
"FirstItem","MonoScript",0.000,0.000
"DisableAnnotationAttribute","MonoScript",0.000,0.000
"DataStreamReader","MonoScript",0.000,0.000
"EnumerableExtensions","MonoScript",0.000,0.000
"OVRGrabber","MonoScript",0.000,0.000
"WitUnityLifecycleExtensions","MonoScript",0.000,0.000
"SerializedInputAction","MonoScript",0.000,0.000
"Readme","MonoScript",0.000,0.000
"ObjectVoiceExperience","MonoScript",0.000,0.000
"ReflectionMethodsCache","MonoScript",0.000,0.000
"HttpTransferUpdate","MonoScript",0.000,0.000
"GroupPresenceJoinIntent","MonoScript",0.000,0.000
"OperatorHandler","MonoScript",0.000,0.000
"NetSyncVoipAttenuationValue","MonoScript",0.000,0.000
"OVRAnchor.FetchOptions","MonoScript",0.000,0.000
"InputActionReference","MonoScript",0.000,0.000
"MetaXRAcousticNativeInterface","MonoScript",0.000,0.000
"HapticPattern","MonoScript",0.000,0.000
"InputBindingCompositeContext","MonoScript",0.000,0.000
"ICoreLogger","MonoScript",0.000,0.000
"HasStateGraph","MonoScript",0.000,0.000
"Comparison","MonoScript",0.000,0.000
"UpdateDriverGroup","MonoScript",0.000,0.000
"SerializationHelpers","MonoScript",0.000,0.000
"InvocationContext","MonoScript",0.000,0.000
"Avx","MonoScript",0.000,0.000
"CustomCapabilityKeyAttribute","MonoScript",0.000,0.000
"GraphPointer","MonoScript",0.000,0.000
"cellular2x2","MonoScript",0.000,0.000
"FixedList.gen","MonoScript",0.000,0.000
"RewindableAllocator","MonoScript",0.000,0.000
"StringEvent","MonoScript",0.000,0.000
"NullCoalesce","MonoScript",0.000,0.000
"SelectOnEnum","MonoScript",0.000,0.000
"SpeechEvents","MonoScript",0.000,0.000
"IAudioLevelRangeProvider","MonoScript",0.000,0.000
"IgnoreWarningAttribute","MonoScript",0.000,0.000
"WitSocketRequest","MonoScript",0.000,0.000
"Vector2Sum","MonoScript",0.000,0.000
"UnityThread","MonoScript",0.000,0.000
"TTSSpeakerErrorLabel","MonoScript",0.000,0.000
"ConversionUtility","MonoScript",0.000,0.000
"NativeMethods","MonoScript",0.000,0.000
"WitIntentData","MonoScript",0.000,0.000
"SerializableGuid","MonoScript",0.000,0.000
"WitByteDataEvent","MonoScript",0.000,0.000
"GameObjectActiveState","MonoScript",0.000,0.000
"Vector3Lerp","MonoScript",0.000,0.000
"OnCollisionStay2D","MonoScript",0.000,0.000
"UTF8ArrayUnsafeUtility","MonoScript",0.000,0.000
"OVRButtonAxis1D","MonoScript",0.000,0.000
"UnityObjectConverter","MonoScript",0.000,0.000
"AnimationCurveCloner","MonoScript",0.000,0.000
"PoseTravelData","MonoScript",0.000,0.000
"AdditionHandler","MonoScript",0.000,0.000
"TTSSpeakerEvents","MonoScript",0.000,0.000
"Null","MonoScript",0.000,0.000
"OVRPhysicsRaycaster","MonoScript",0.000,0.000
"ProfiledSegment","MonoScript",0.000,0.000
"BillingPlan","MonoScript",0.000,0.000
"WitService","MonoScript",0.000,0.000
"IHandGrabInteractable","MonoScript",0.000,0.000
"ILogWriter","MonoScript",0.000,0.000
"TTSVisemeEvent","MonoScript",0.000,0.000
"OnCollisionExit","MonoScript",0.000,0.000
"AndHandler","MonoScript",0.000,0.000
"AudioBuffer","MonoScript",0.000,0.000
"JsonConverter","MonoScript",0.000,0.000
"TimeUtility","MonoScript",0.000,0.000
"InputBuildAnalytic","MonoScript",0.000,0.000
"IVoiceRequestResults","MonoScript",0.000,0.000
"InputUserSettings","MonoScript",0.000,0.000
"ReflectionUtils","MonoScript",0.000,0.000
"AppComposerExperience","MonoScript",0.000,0.000
"IRequest","MonoScript",0.000,0.000
"AppDictationExperience","MonoScript",0.000,0.000
"BufferedAudioStream","MonoScript",0.000,0.000
"IComposerSpeechHandler","MonoScript",0.000,0.000
"TMP_FontAssetCommon","MonoScript",0.000,0.000
"SwitchOnEnum","MonoScript",0.000,0.000
"NullMeansSelfAttribute","MonoScript",0.000,0.000
"AdvancedDropdownState","MonoScript",0.000,0.000
"InputRemoting","MonoScript",0.000,0.000
"float2x3.gen","MonoScript",0.000,0.000
"ParticleControlPlayable","MonoScript",0.000,0.000
"BinaryComparisonUnit","MonoScript",0.000,0.000
"RoomGuardian","MonoScript",0.000,0.000
"ScriptableSettingsBase","MonoScript",0.000,0.000
"Update","MonoScript",0.000,0.000
"Pid","MonoScript",0.000,0.000
"IEventBinding","MonoScript",0.000,0.000
"InvalidConnection","MonoScript",0.000,0.000
"SetVariable","MonoScript",0.000,0.000
"PalmGrabAPI","MonoScript",0.000,0.000
"Vector2Extensions","MonoScript",0.000,0.000
"XRManagerSettings","MonoScript",0.000,0.000
"VLogger","MonoScript",0.000,0.000
"TextMeshProUGUI","MonoScript",0.000,0.000
"OVRRuntimeAssetsBase","MonoScript",0.000,0.000
"WitKeyword","MonoScript",0.000,0.000
"INesterStateTransition","MonoScript",0.000,0.000
"UpdateCanvasSortingOrder","MonoScript",0.000,0.000
"MetaXRAudioSettings","MonoScript",0.000,0.000
"LoggerRegistry","MonoScript",0.000,0.000
"BodyJointsCache","MonoScript",0.000,0.000
"FieldsCloner","MonoScript",0.000,0.000
"MeshBlit","MonoScript",0.000,0.000
"MRUKTrackable","MonoScript",0.000,0.000
"Packet","MonoScript",0.000,0.000
"IMpegFrame","MonoScript",0.000,0.000
"bool2x4.gen","MonoScript",0.000,0.000
"UnitRelation","MonoScript",0.000,0.000
"IBody","MonoScript",0.000,0.000
"HasScriptGraph","MonoScript",0.000,0.000
"VirtualPointable","MonoScript",0.000,0.000
"ITTSEventPlayer","MonoScript",0.000,0.000
"OnDestroy","MonoScript",0.000,0.000
"ScreenGUIUtils","MonoScript",0.000,0.000
"InputLayoutCodeGenerator","MonoScript",0.000,0.000
"IComposerSessionProvider","MonoScript",0.000,0.000
"CallbackRunner","MonoScript",0.000,0.000
"FromOVRHmdDataSource","MonoScript",0.000,0.000
"LazyLogger","MonoScript",0.000,0.000
"OVRTelemetryUtils","MonoScript",0.000,0.000
"OVRSceneManager","MonoScript",0.000,0.000
"OVRCursor","MonoScript",0.000,0.000
"AssetFileDownloadUpdate","MonoScript",0.000,0.000
"VelocityCalculatorUtilMethods","MonoScript",0.000,0.000
"InsertListItem","MonoScript",0.000,0.000
"BoltUnityEvent","MonoScript",0.000,0.000
"EventSystemInstantiator","MonoScript",0.000,0.000
"double3x3.gen","MonoScript",0.000,0.000
"WaitForFlow","MonoScript",0.000,0.000
"Or","MonoScript",0.000,0.000
"OVRSceneModelLoader","MonoScript",0.000,0.000
"ActiveStateGate","MonoScript",0.000,0.000
"TTSService","MonoScript",0.000,0.000
"VRequest","MonoScript",0.000,0.000
"OVRProgressIndicator","MonoScript",0.000,0.000
"HandFingerMaskGenerator","MonoScript",0.000,0.000
"Sse2","MonoScript",0.000,0.000
"OVRSpace","MonoScript",0.000,0.000
"AotDictionary","MonoScript",0.000,0.000
"InputControlAttribute","MonoScript",0.000,0.000
"SceneSetup","MonoScript",0.000,0.000
"MatchIntent","MonoScript",0.000,0.000
"XRLayoutBuilder","MonoScript",0.000,0.000
"HandJointsCache","MonoScript",0.000,0.000
"OVRSpaceUser","MonoScript",0.000,0.000
"ISurfacePatch","MonoScript",0.000,0.000
"TMPro_MeshUtilities","MonoScript",0.000,0.000
"StateMachine","MonoScript",0.000,0.000
"OVRSemanticLabels","MonoScript",0.000,0.000
"WitDynamicEntity","MonoScript",0.000,0.000
"ClippedPlaneSurface","MonoScript",0.000,0.000
"IDataUploadHandler","MonoScript",0.000,0.000
"OVROverlayCanvasSettings","MonoScript",0.000,0.000
"PassthroughCameraAccess","MonoScript",0.000,0.000
"TooltipBoxAttribute","MonoScript",0.000,0.000
"TTSClipData","MonoScript",0.000,0.000
"RawAudioClipStream","MonoScript",0.000,0.000
"SavedVariables","MonoScript",0.000,0.000
"Greater","MonoScript",0.000,0.000
"HandPose","MonoScript",0.000,0.000
"RespawnOnDrop","MonoScript",0.000,0.000
"RingBufferRawAudioClipStream","MonoScript",0.000,0.000
"FromOVRControllerDataSource","MonoScript",0.000,0.000
"SampleTelemetryEvents","MonoScript",0.000,0.000
"OptimizedReflection","MonoScript",0.000,0.000
"OVROverlayCanvas","MonoScript",0.000,0.000
"WaitUntilUnit","MonoScript",0.000,0.000
"IEventGraph","MonoScript",0.000,0.000
"OptionalAttribute","MonoScript",0.000,0.000
"OculusUsages","MonoScript",0.000,0.000
"IGrabbable","MonoScript",0.000,0.000
"UnityAudioSystem","MonoScript",0.000,0.000
"BuildProviderHelpers","MonoScript",0.000,0.000
"OVRRuntimeController","MonoScript",0.000,0.000
"UnitPreservation","MonoScript",0.000,0.000
"WitContextMapInfo","MonoScript",0.000,0.000
"StaticActionInvoker_5","MonoScript",0.000,0.000
"UnityObjectExtensions","MonoScript",0.000,0.000
"SelectedSolutionsData","MonoScript",0.000,0.000
"AttributeUtility","MonoScript",0.000,0.000
"FirstPersonLocomotor","MonoScript",0.000,0.000
"ProfilerUtility","MonoScript",0.000,0.000
"OSXSupport","MonoScript",0.000,0.000
"IObjectVariableUnit","MonoScript",0.000,0.000
"AnimatorOverrideLayerWeigth","MonoScript",0.000,0.000
"ControllerRayVisual","MonoScript",0.000,0.000
"bool4x4.gen","MonoScript",0.000,0.000
"BitField","MonoScript",0.000,0.000
"SaveVariables","MonoScript",0.000,0.000
"BurstCompilerOptions","MonoScript",0.000,0.000
"DynamicRangeAttribute","MonoScript",0.000,0.000
"OVRFuture","MonoScript",0.000,0.000
"ControllerHandDataSource","MonoScript",0.000,0.000
"MpegFrameDecoder","MonoScript",0.000,0.000
"InputActionEditorWindow","MonoScript",0.000,0.000
"ComposerResponseData","MonoScript",0.000,0.000
"OVREnumerable","MonoScript",0.000,0.000
"PaidOffer","MonoScript",0.000,0.000
"OVRVignette","MonoScript",0.000,0.000
"xxHash3","MonoScript",0.000,0.000
"InputDeviceDebuggerWindow","MonoScript",0.000,0.000
"TypeExtensions","MonoScript",0.000,0.000
"CustomEvent","MonoScript",0.000,0.000
"FlyingLocomotor","MonoScript",0.000,0.000
"ConduitUtilities","MonoScript",0.000,0.000
"LocomotionEvent","MonoScript",0.000,0.000
"NativeSort","MonoScript",0.000,0.000
"ManifestEntity","MonoScript",0.000,0.000
"GameObjectExtensions","MonoScript",0.000,0.000
"OVRControllerInHandActiveState","MonoScript",0.000,0.000
"StaticActionInvoker_0","MonoScript",0.000,0.000
"AvatarEditorOptions","MonoScript",0.000,0.000
"HandGrabInteractable","MonoScript",0.000,0.000
"RoundedBoxVideoController","MonoScript",0.000,0.000
"common","MonoScript",0.000,0.000
"IUnitInputPort","MonoScript",0.000,0.000
"OneGrabTranslateTransformer","MonoScript",0.000,0.000
"User","MonoScript",0.000,0.000
"Vector3Maximum","MonoScript",0.000,0.000
"InputFocus","MonoScript",0.000,0.000
"LayerDecoderBase","MonoScript",0.000,0.000
"Vector3Absolute","MonoScript",0.000,0.000
"InputSettingsProvider","MonoScript",0.000,0.000
"Context","MonoScript",0.000,0.000
"DotGridProperties","MonoScript",0.000,0.000
"LocomotionSeatedSetting","MonoScript",0.000,0.000
"PageScroll","MonoScript",0.000,0.000
"IGraphElementWithData","MonoScript",0.000,0.000
"StaticActionInvoker_4","MonoScript",0.000,0.000
"SampleSceneGroup","MonoScript",0.000,0.000
"XComparable","MonoScript",0.000,0.000
"ITTSVoiceProvider","MonoScript",0.000,0.000
"WeightUtility","MonoScript",0.000,0.000
"OVRCanvasMeshRenderer","MonoScript",0.000,0.000
"SceneNavigation","MonoScript",0.000,0.000
"WebGLGamepad","MonoScript",0.000,0.000
"Feature","MonoScript",0.000,0.000
"EffectMesh","MonoScript",0.000,0.000
"VariableDeclaration","MonoScript",0.000,0.000
"Variables","MonoScript",0.000,0.000
"VoiceServiceRequestEvents","MonoScript",0.000,0.000
"ComposerContextMap","MonoScript",0.000,0.000
"WitChunk","MonoScript",0.000,0.000
"MemberUtility","MonoScript",0.000,0.000
"InputActionsEditorWindow","MonoScript",0.000,0.000
"ApproximatelyEqual","MonoScript",0.000,0.000
"AudioStreamHandler","MonoScript",0.000,0.000
"FloatConstraint","MonoScript",0.000,0.000
"SwitchOnInteger","MonoScript",0.000,0.000
"DeprecatedVector3Add","MonoScript",0.000,0.000
"FingerRawPinchAPI","MonoScript",0.000,0.000
"MathUtility","MonoScript",0.000,0.000
"TeleportArcVisual","MonoScript",0.000,0.000
"OculusPlugin","MonoScript",0.000,0.000
"InputDiagnostics","MonoScript",0.000,0.000
"IComposerActionHandler","MonoScript",0.000,0.000
"SignalReceiver","MonoScript",0.000,0.000
"MetaCodeSampleAttribute","MonoScript",0.000,0.000
"ComponentHolderProtocol","MonoScript",0.000,0.000
"IHand","MonoScript",0.000,0.000
"TMP_SpriteAssetImportFormats","MonoScript",0.000,0.000
"RemoveDictionaryItem","MonoScript",0.000,0.000
"DualMotorRumble","MonoScript",0.000,0.000
"GetVariable","MonoScript",0.000,0.000
"WaitForNextFrameUnit","MonoScript",0.000,0.000
"Popcnt","MonoScript",0.000,0.000
"NativeBitArray","MonoScript",0.000,0.000
"BufferPoolAudioClipStream","MonoScript",0.000,0.000
"bool4x3.gen","MonoScript",0.000,0.000
"ScalarModulo","MonoScript",0.000,0.000
"IGraph","MonoScript",0.000,0.000
"Request","MonoScript",0.000,0.000
"Vector2Lerp","MonoScript",0.000,0.000
"matrix","MonoScript",0.000,0.000
"InputControlPicker","MonoScript",0.000,0.000
"LinkedAccount","MonoScript",0.000,0.000
"PointableUnityEventWrapper","MonoScript",0.000,0.000
"MpegFile","MonoScript",0.000,0.000
"SerializedPropertyHelpers","MonoScript",0.000,0.000
"OnEndDrag","MonoScript",0.000,0.000
"TMP_MeshInfo","MonoScript",0.000,0.000
"ReservedContextPath","MonoScript",0.000,0.000
"InputActionMapDrawer","MonoScript",0.000,0.000
"Outline","MonoScript",0.000,0.000
"UnityEventExtensions","MonoScript",0.000,0.000
"ActivationMixerPlayable","MonoScript",0.000,0.000
"WitSimpleDynamicEntity","MonoScript",0.000,0.000
"Vector3Round","MonoScript",0.000,0.000
"InputSystem","MonoScript",0.000,0.000
